WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
AAL,aal,N,-0.5,0.707106781186548,2.38095238095238,1.2440333788203,6.55555555555556,0.726483157256779,3,2,1,13.3333333333333,6,3182,3,3175.17,83677.5,1
AAS,aas,N,-2.1,1.10050493461461,2.63157894736842,1.42245977548242,5.44444444444444,0.881917103688197,3,2,1,1,6,10568.83,5,10568.5,30120.5,1
ABART,abart,N,-1.6,0.699205898780101,3.27777777777778,1.01781516613691,2.33333333333333,1.3228756555323,5,5,2,1.16666666666667,2,3,1,2.33,80270,1
ABBAU,abbau,N,-1,1.1697953,3,1.2977713690461,2.22727273,1.23179382,5,4,2,14.5,1,6.83,0,0,94054.75,1
ABBAUEN,abbauen,V,-0.8,0.92,2.10526315789474,1.24252148839479,3.67,1.58,7,6,3,15.5,3,51,1,38,238806.333333333,1
ABBILD,abbild,N,-0.2,0.632455532033676,2.10526315789474,0.809302638222512,3.77777777777778,1.98606254796883,6,6,2,3.5,0,0,0,0,45958.4,1
ABBRUCH,abbruch,N,-0.7,1.15950180872841,2.9047619047619,1.04425867986634,2.77777777777778,1.092906420717,7,6,2,11,1,0.83,0,0,171129.5,1
ABDANKEN,abdanken,V,-0.4,0.84,2.66666666666667,1.08465228909328,2.67,1.41,8,8,3,1.16666666666667,0,0,0,0,226844,1
ABDRUCK,abdruck,N,-0.1,0.316227766016838,2.23529411764706,0.970142500145332,4.77777777777778,1.30170827931778,7,6,2,2.66666666666667,1,0,0,0,45577.3333333333,1
ABEND,abend,N,1.65,0.933302,1.83333333333333,0.923548145182799,4.45454545,1.68260775,5,5,2,131.666666666667,0,0,0,0,460338.5,1
ABENDROT,abendrot,N,2.4,0.699205898780101,2,1.02899151085505,6.77777777777778,0.440958551844098,8,8,3,0.666666666666667,0,0,0,0,275273,1
ABENDS,abends,A,1,1.15,2.05263157894737,1.39338453695893,4.89,1.27,6,5,2,56.3333333333333,0,0,0,0,369196.4,1
ABFAHRT,abfahrt,N,0.3,0.483045891539648,3.11764705882353,1.16631647405284,4.88888888888889,1.36422546197874,7,6,2,9.5,0,0,0,0,66920.8333333333,1
ABFALL,abfall,N,-1.7,0.97872097,2.41176470588235,0.939336436627725,5.22727273,1.60154147,6,5,2,9.33333333333333,1,4.83,0,0,89284.4,1
ABFLUG,abflug,N,0.7,0.823272602348565,3.14285714285714,1.45896244933563,5.22222222222222,0.97182531580755,6,6,2,4.33333333333333,2,4.83,0,0,36366.6,1
ABFUHR,abfuhr,N,-1.35,1.08942283,3.55,1.14593101656986,2.40909091,1.62302161,6,5,2,3.33333333333333,1,0.33,0,0,49654.4,1
ABGANG,abgang,N,-0.95,1.05006265,2.31578947368421,1.05686284083011,2.04545455,1.25270271,6,5,2,6.66666666666667,1,1.5,0,0,115882.8,1
ABGAS,abgas,N,-2.05,0.88704121,2.88235294117647,1.0537049480984,3.90909091,1.54022543,5,5,2,2.66666666666667,0,0,0,0,50885.25,1
ABGEBEN,abgeben,V,-0.029411764705882,1.31391836187625,2.19047619047619,0.928388260322567,3.34615384615385,1.59855704164244,7,7,3,71.6666666666667,4,51,0,0,315499.5,1
