#Term,Coding,strong,akt/pass,Wortart,Emotion 1,Emotion 2
Adjektive,,,,,,
abgeklärt,,,,adjektiv,Vertrauen,
abgeneigt,,,,adjektiv,Ekel,
abgespannt,F_NEG,,passiv,adjektiv,Traurigkeit,
abscheulich,,,,adjektiv,Ekel,
aggressiv,,,,adjektiv,Ärger,Erwartung
akzeptiert,,,,adjektiv,Vertrauen,
alarmiert,,,,adjektiv,Furcht,
amüsiert,F_POS,,,adjektiv,Freude,
andächtig,,,,adjektiv,Vertrauen,
angeekelt,,,,adjektiv,Ekel,
angeregt,F_POS,,,adjektiv,Erwartung,
angespannt,F_NEG,,,adjektiv,Furcht,
angriffslustig,,,,adjektiv,Ärger,Erwartung
angst,F_NEG,,,adjektiv,Furcht,
angsterregend,F_NEG,,,adjektiv,Furcht,
angstfrei,F_POS,,,adjektiv,Vertrauen,
ängstlich,F_NEG,,,adjektiv,Furcht,
angstlos,F_POS,,,adjektiv,Vertrauen,
angstvoll,F_NEG,strong,,adjektiv,Furcht,
anmassend,,,,adjektiv,Ekel,
ärgerlich,,,,adjektiv,Ärger,
aufbrausend,F_NEG,,,adjektiv,Ärger,
aufgebracht,F_NEG,,,adjektiv,Ärger,
aufgedreht,F_NEG,,,adjektiv,Freude,Erwartung
aufgekratzt,,,,adjektiv,Freude,
aufgeregt,,,,adjektiv,Erwartung,
aufgestellt,,,,adjektiv,Freude,
aufgewühlt,,,,adjektiv,Traurigkeit,
ausgeflippt,F_NEG,,,adjektiv,Überraschung,
ausgeglichen,,,,adjektiv,Vertrauen,
ausgelassen,F_POS,,,adjektiv,Freude,
ausgelaugt,F_NEG,strong,,adjektiv,Traurigkeit,
bang,F_NEG,,,adjektiv,Furcht,
beängstigend,F_NEG,,,adjektiv,Furcht,
bedrängt,,,,adjektiv,Traurigkeit,Furcht
bedroht,,,,adjektiv,Furcht,
bedröppelt,F_NEG,,,adjektiv,Überraschung,
bedrückt,F_NEG,,,adjektiv,Traurigkeit,
befangen,F_NEG,,,adjektiv,Traurigkeit,
beflügelt,,,,adjektiv,Freude,
befremdet,,,,adjektiv,Überraschung,Ekel
befürchtet,,,,adjektiv,Furcht,
begeistert,F_POS,strong,,adjektiv,Freude,
beglückt,,,,adjektiv,Freude,
behaglich,F_POS,,,adjektiv,Vertrauen,
behutsam,,,,adjektiv,Furcht,
beklemmend,F_NEG,,,adjektiv,Furcht,
beklemmt,F_NEG,,,adjektiv,Furcht,
beklommen,F_NEG,,,adjektiv,Furcht,
bekümmert,F_NEG,,passiv,adjektiv,Furcht,
beleidigt,F_NEG,,,adjektiv,Ärger,
berauschend,F_POS,,,adjektiv,Freude,
berauscht,F_POS,,,adjektiv,Freude,
beruhigt,,,,adjektiv,Vertrauen,
berührend,,,,adjektiv,Traurigkeit,Freude
berührt,,,,adjektiv,Traurigkeit,Freude
beschämt,F_NEG,,,adjektiv,Ekel,Ärger
bescheiden,,,,adjektiv,Freude,
beschwingt,,,,adjektiv,Freude,
beseelt,F_POS,,,adjektiv,Freude,Vertrauen
besorgniserregend,F_NEG,,,adjektiv,Furcht,
besorgt,F_NEG,,,adjektiv,Furcht,
bestürzt,F_NEG,strong,,adjektiv,Traurigkeit,
betroffen,,,,adjektiv,Traurigkeit,
betrübt,F_NEG,,,adjektiv,Traurigkeit,
beunruhigend,,,,adjektiv,Furcht,
beunruhigt,F_NEG,,,adjektiv,Furcht,
bewegend,F_POS,,,adjektiv,Traurigkeit,Freude
bewegt,,,,adjektiv,Traurigkeit,Freude
bewundert,,,,adjektiv,Vertrauen,
bockig,F_NEG,,,adjektiv,Ärger,
böse,,,,adjektiv,Ekel,
boshaft,,,,adjektiv,Ekel,
dankbar,,,,adjektiv,Freude,
depressiv,,,,adjektiv,Traurigkeit,
deprimiert,,,,adjektiv,Traurigkeit,
desillusioniert,F_NEG,,,adjektiv,Traurigkeit,
desperat,F_NEG,strong,,adjektiv,Traurigkeit,
drollig,F_POS,,,adjektiv,Freude,
durcheinander,,,,adjektiv,Überraschung,
ehrerbietig,,,,adjektiv,Vertrauen,Überraschung
ehrfürchtig,,,,adjektiv,Vertrauen,Überraschung
eifersüchtig,F_NEG,,,adjektiv,Ärger,
einfühlsam,F_POS,,,adjektiv,Vertrauen,
eingeschnappt,F_NEG,,,adjektiv,Ärger,
eingeschüchtert,F_NEG,,,adjektiv,Furcht,
einsam,,,,adjektiv,Traurigkeit,
elegisch,F_NEG,,,adjektiv,Traurigkeit,
emotionsfrei,F_NEG,,,adjektiv,Ekel,
empfindlich,F_NEG,,,adjektiv,Ekel,
empfindsam,F_POS,,,adjektiv,Vertrauen,Traurigkeit
empört,F_NEG,,,adjektiv,Ärger,
entflammt,F_POS,,,adjektiv,Freude,
entgeistert,F_NEG,strong,,adjektiv,Überraschung,
enthusiastisch,F_POS,,aktiv,adjektiv,Freude,
entmutigend,F_NEG,strong,,adjektiv,Ärger,
entrüstet,F_NEG,,,adjektiv,Ärger,
entsetzt,F_NEG,,,adjektiv,Überraschung,Ärger
entspannend,F_POS,,,adjektiv,Vertrauen,
entspannt,F_POS,,,adjektiv,Vertrauen,
enttäuscht,F_NEG,,,adjektiv,Traurigkeit,Ärger
entzückt,,,,adjektiv,Freude,
erbittert,,,,adjektiv,Ärger,
erbost,F_NEG,strong,aktiv,adjektiv,Ärger,
erfreulich,,,,adjektiv,Freude,
erfreut,,,,adjektiv,Freude,
erfüllt,,,,adjektiv,Freude,
ergreifend,F_POS,strong,,adjektiv,Freude,
ergriffen,F_POS,strong,passiv,adjektiv,Freude,
erheitert,,,,adjektiv,Freude,
erleichtert,F_POS,,,adjektiv,Freude,
erniedrigt,F_NEG,,,adjektiv,Traurigkeit,
ernst,,,,adjektiv,Traurigkeit,
ernüchternd,F_NEG,,,adjektiv,Ärger,
erregt,,,,adjektiv,Erwartung,
erschreckend,,,,adjektiv,Furcht,
erschrocken,F_NEG,,,adjektiv,Furcht,
erschütternd,F_NEG,strong,,adjektiv,Traurigkeit,
erschüttert,F_NEG,strong,,adjektiv,Traurigkeit,
erstaunt,,,,adjektiv,Überraschung,
erwartungsfroh,F_POS,,,adjektiv,Erwartung,Freude
erzürnt,F_NEG,strong,aktiv,adjektiv,Ärger,
euphorisch,F_POS,strong,,adjektiv,Erwartung,Freude
fassungslos,,,,adjektiv,Überraschung,
fasziniert,F_POS,,,adjektiv,Freude,
feige,,,,adjektiv,Furcht,
feinfühlig,F_POS,,aktiv,adjektiv,Vertrauen,
fidel,,,,adjektiv,Freude,
flau,F_NEG,,,adjektiv,Furcht,
freudlos,F_NEG,,,adjektiv,Traurigkeit,
