anzahl;vorname;geschlecht;position
207;Marie;w;2
148;Sophie;w;2
120;Emilia;w;1
107;Maria;w;2
105;Noah;m;1
86;Emma;w;1
82;Felix;m;1
81;Anton;m;1
80;Charlotte;w;1
80;Jakob;m;1
80;Leon;m;1
79;Mila;w;1
79;Paul;m;1
78;Marie;w;1
78;Mia;w;1
75;Lina;w;1
73;Alexander;m;2
70;Emil;m;1
69;Ella;w;1
68;Jonas;m;1
65;Maximilian;m;2
64;Theo;m;1
63;Ben;m;1
63;Milan;m;1
62;Anna;w;1
61;Leonie;w;1
61;Elias;m;1
61;Moritz;m;1
60;Liam;m;1
58;Maximilian;m;1
56;Luisa;w;1
55;Clara;w;1
54;Hannah;w;1
53;Jonathan;m;1
53;Leo;m;1
52;Lara;w;1
52;Paula;w;1
51;Paul;m;2
51;Lea;w;1
50;Lena;w;1
50;Max;m;1
49;Ida;w;1
48;Katharina;w;2
48;Emily;w;1
47;Lukas;m;1
46;Elias;m;2
46;Sophia;w;1
45;Sophie;w;1
44;Levi;m;1
44;Leni;w;1
44;Lia;w;1
43;Luca;m;1
42;Samuel;m;1
42;Johanna;w;1
41;Johann;m;2
41;Johanna;w;2
41;David;m;1
41;Oskar;m;1
40;Tom;m;1
40;Mira;w;1
39;Julian;m;1
39;Sara;w;1
39;Mats;m;1
39;Toni;m;1
38;Mina;w;1
38;Sofia;w;1
38;Henry;m;1
37;Elisabeth;w;2
37;Finn;m;1
37;Louis;m;1
36;Luise;w;2
35;Elisa;w;1
35;Marlene;w;1
35;Henri;m;1
34;Nora;w;1
34;Aaron;m;1
34;Adam;m;1
34;Jan;m;1
34;Leonard;m;1
33;Antonia;w;1
33;Ava;w;1
33;Liya;w;1
33;Emilio;m;1
32;Tilda;w;1
32;Carlo;m;1
32;Jonah;m;1
32;Linus;m;1
32;Matteo;m;1
31;Emil;m;2
31;Paulina;w;1
31;Thea;w;1
31;Luis;m;1
30;Anton;m;2
30;Maya;w;1
30;Nele;w;1
30;Alexander;m;1
30;Benjamin;m;1
30;Niklas;m;1
30;Tim;m;1
29;Sophia;w;2
29;Bruno;m;1
29;Julius;m;1
28;Emilia;w;2
28;Amelie;w;1
28;Juna;w;1
28;Lotta;w;1
28;Gabriel;m;1
28;Mika;m;1
28;Milo;m;1
27;Hanna;w;1
